Age.of.respondent,Region.of.interview,Can.people.be.trusted
43,E. nor. central,Cannot trust
70,E. nor. central,Cannot trust
37,E. nor. central,Can trust
58,W. nor. central,Can trust
89 or older,W. nor. central,Can trust
80,W. nor. central,Can trust
30,W. nor. central,Cannot trust
55,W. nor. central,Can trust
44,W. nor. central,Cannot trust
31,W. nor. central,Can trust
38,W. nor. central,Not applicable
45,W. nor. central,Cannot trust
85,W. nor. central,Not applicable
66,W. nor. central,Not applicable
26,W. nor. central,Cannot trust
56,W. nor. central,Not applicable
53,W. nor. central,Cannot trust
44,W. nor. central,Cannot trust
59,W. nor. central,Can trust
56,W. sou. central,Not applicable
26,W. sou. central,Cannot trust
44,W. sou. central,Not applicable
35,W. sou. central,Not applicable
38,W. sou. central,Cannot trust
53,W. sou. central,Cannot trust
50,W. sou. central,Cannot trust
59,W. sou. central,Cannot trust
65,W. sou. central,Cannot trust
67,W. sou. central,Cannot trust
30,W. sou. central,Cannot trust
79,W. sou. central,Cannot trust
58,W. sou. central,Cannot trust
33,W. sou. central,Cannot trust
54,W. sou. central,Cannot trust
53,W. sou. central,Can trust
78,W. sou. central,Cannot trust
28,W. sou. central,Cannot trust
18,W. sou. central,Not applicable
43,W. sou. central,Not applicable
39,W. sou. central,Not applicable
22,W. sou. central,Cannot trust
59,W. sou. central,Cannot trust
89 or older,Mountain,Cannot trust
60,Mountain,Cannot trust
25,Mountain,Cannot trust
77,Mountain,Can trust
57,Mountain,Not applicable
39,Mountain,Can trust
53,Mountain,Depends
48,Mountain,Not applicable
63,Mountain,Cannot trust
23,Mountain,Not applicable
43,Pacific,Cannot trust
29,Pacific,Can trust
59,Pacific,Not applicable
No answer,Pacific,Can trust
67,Pacific,Can trust
27,Pacific,Not applicable
62,Pacific,Can trust
89 or older,Pacific,Can trust
42,Pacific,Not applicable
26,Pacific,Can trust
67,Pacific,Not applicable
41,Pacific,Not applicable
57,Pacific,Not applicable
57,Pacific,Cannot trust
41,Pacific,Cannot trust
54,Pacific,Not applicable
48,Pacific,Not applicable
70,Pacific,Cannot trust
31,Pacific,Cannot trust
54,Pacific,Can trust
39,Pacific,Not applicable
24,Pacific,Can trust
24,Pacific,Cannot trust
58,Pacific,Cannot trust
79,Pacific,Not applicable
79,Pacific,Not applicable
44,Pacific,Not applicable
68,Pacific,Not applicable
27,Pacific,Not applicable
72,Pacific,Depends
39,Pacific,Cannot trust
26,Pacific,Not applicable
34,Pacific,Not applicable
59,Pacific,Cannot trust
71,Pacific,Cannot trust
32,Pacific,Not applicable
88,Pacific,Not applicable
32,Pacific,Can trust
26,Pacific,Can trust
53,Mountain,Not applicable
36,Mountain,Cannot trust
35,Mountain,Cannot trust
33,Mountain,Cannot trust
43,Mountain,Cannot trust
28,Mountain,Cannot trust
36,Mountain,Not applicable
48,Mountain,Not applicable
28,Mountain,Cannot trust
61,Mountain,Not applicable
40,Mountain,Cannot trust
58,Mountain,Cannot trust
47,Mountain,Not applicable
27,Mountain,Not applicable
65,Mountain,Can trust
42,Mountain,Not applicable
31,Mountain,Can trust
66,Mountain,Not applicable
52,W. sou. central,Cannot trust
42,W. sou. central,Cannot trust
59,W. sou. central,Not applicable
35,W. sou. central,Not applicable
44,W. sou. central,Can trust
33,W. sou. central,Can trust
41,W. sou. central,Can trust
62,W. sou. central,Not applicable
30,W. sou. central,Cannot trust
47,W. sou. central,Cannot trust
51,W. sou. central,Not applicable
41,W. sou. central,Can trust
33,W. sou. central,Cannot trust
51,W. sou. central,Can trust
40,W. sou. central,Cannot trust
55,W. sou. central,Cannot trust
78,W. sou. central,Cannot trust
32,W. sou. central,Cannot trust
58,W. sou. central,Can trust
22,W. nor. central,Not applicable
33,W. nor. central,Can trust
27,W. nor. central,Not applicable
62,W. nor. central,Can trust
23,W. nor. central,Cannot trust
34,W. nor. central,Not applicable
31,W. nor. central,Can trust
27,W. nor. central,Not applicable
26,W. nor. central,Not applicable
20,W. nor. central,Cannot trust
49,W. nor. central,Cannot trust
21,W. nor. central,Cannot trust
37,W. nor. central,Cannot trust
86,W. nor. central,Not applicable
47,E. nor. central,Cannot trust
52,E. nor. central,Can trust
79,E. nor. central,Can trust
24,E. nor. central,Not applicable
28,E. nor. central,Cannot trust
38,E. nor. central,Cannot trust
54,E. nor. central,Not applicable
64,E. nor. central,Cannot trust
49,E. nor. central,Not applicable
28,E. nor. central,Not applicable
35,E. nor. central,Not applicable
38,E. nor. central,Can trust
55,E. nor. central,Can trust
69,E. nor. central,Not applicable
39,E. nor. central,Not applicable
58,E. nor. central,Cannot trust
64,E. nor. central,Can trust
26,E. nor. central,Not applicable
51,South atlantic,Not applicable
44,South atlantic,Can trust
48,South atlantic,Cannot trust
31,South atlantic,Not applicable
30,E. nor. central,Cannot trust
48,E. nor. central,Can trust
69,E. nor. central,Not applicable
72,E. nor. central,Cannot trust
29,E. nor. central,Not applicable
35,E. nor. central,Not applicable
39,E. sou. central,Cannot trust
87,E. sou. central,Cannot trust
34,E. sou. central,Cannot trust
52,E. sou. central,Cannot trust
84,E. sou. central,Not applicable
66,E. sou. central,Cannot trust
40,E. sou. central,Cannot trust
84,E. sou. central,Cannot trust
65,South atlantic,Not applicable
71,South atlantic,Cannot trust
53,South atlantic,Cannot trust
64,South atlantic,Cannot trust
45,South atlantic,Cannot trust
86,South atlantic,Cannot trust
46,South atlantic,Cannot trust
55,South atlantic,Cannot trust
56,South atlantic,Cannot trust
43,South atlantic,Cannot trust
79,South atlantic,Cannot trust
35,South atlantic,Not applicable
41,South atlantic,Not applicable
46,South atlantic,Not applicable
54,New england,Cannot trust
65,New england,Not applicable
48,New england,Not applicable
49,New england,Not applicable
54,New england,Can trust
40,New england,Cannot trust
56,New england,Not applicable
27,New england,Cannot trust
71,New england,Not applicable
53,New england,Cannot trust
56,New england,Can trust
69,Middle atlantic,Not applicable
56,New england,Cannot trust
42,Middle atlantic,Cannot trust
38,Middle atlantic,Cannot trust
35,Middle atlantic,Not applicable
57,Middle atlantic,Can trust
50,Middle atlantic,Cannot trust
No answer,Middle atlantic,Not applicable
31,Middle atlantic,Can trust
61,Middle atlantic,Not applicable
59,Middle atlantic,Not applicable
26,Middle atlantic,Cannot trust
32,Middle atlantic,Not applicable
32,Middle atlantic,Not applicable
29,Middle atlantic,Cannot trust
24,Middle atlantic,Not applicable
44,Middle atlantic,Can trust
56,Middle atlantic,Cannot trust
47,Middle atlantic,Cannot trust
69,Middle atlantic,Can trust
65,Middle atlantic,Depends
57,Middle atlantic,Can trust
32,Middle atlantic,Cannot trust
66,Middle atlantic,Depends
51,Middle atlantic,Can trust
27,Middle atlantic,Can trust
54,Middle atlantic,Can trust
40,Middle atlantic,Can trust
36,Middle atlantic,Cannot trust
56,Middle atlantic,Cannot trust
72,Middle atlantic,Not applicable
40,Middle atlantic,Cannot trust
28,Middle atlantic,Not applicable
37,Middle atlantic,Cannot trust
32,Middle atlantic,Can trust
32,Middle atlantic,Cannot trust
74,Middle atlantic,Cannot trust
42,Middle atlantic,Can trust
23,Middle atlantic,Not applicable
29,Middle atlantic,Not applicable
35,Middle atlantic,Can trust
30,Middle atlantic,Not applicable
44,Middle atlantic,Not applicable
58,Middle atlantic,Not applicable
29,Middle atlantic,Not applicable
64,Middle atlantic,Can trust
61,Middle atlantic,Not applicable
63,Middle atlantic,Not applicable
57,Middle atlantic,Not applicable
29,Middle atlantic,Cannot trust
55,Middle atlantic,Cannot trust
37,Middle atlantic,Cannot trust
55,Middle atlantic,Depends
54,Middle atlantic,Cannot trust
46,Middle atlantic,Not applicable
51,Middle atlantic,Cannot trust
45,New england,Depends
50,New england,Not applicable
59,Pacific,Cannot trust
62,Pacific,Not applicable
20,Pacific,Cannot trust
71,Pacific,Not applicable
46,Pacific,Not applicable
54,Pacific,Can trust
20,Pacific,Cannot trust
41,Pacific,Cannot trust
63,Pacific,Cannot trust
25,Pacific,Cannot trust
34,Pacific,Not applicable
22,Pacific,Cannot trust
35,Pacific,Cannot trust
53,Pacific,Not applicable
54,Pacific,Not applicable
56,Pacific,Cannot trust
68,Pacific,Cannot trust
41,Pacific,Not applicable
52,Pacific,Cannot trust
19,Pacific,Cannot trust
75,Pacific,Not applicable
61,Pacific,Depends
58,Pacific,Can trust
75,Pacific,Can trust
32,Pacific,Not applicable
58,Pacific,Cannot trust
50,Pacific,Can trust
43,Pacific,Cannot trust
31,Pacific,Cannot trust
25,Pacific,Cannot trust
59,Pacific,Not applicable
46,Pacific,Cannot trust
81,Pacific,Not applicable
63,Pacific,Not applicable
48,Pacific,Cannot trust
48,Pacific,Not applicable
29,Pacific,Not applicable
50,Pacific,Not applicable
30,Pacific,Cannot trust
85,Pacific,Not applicable
39,E. nor. central,Not applicable
31,E. nor. central,Cannot trust
61,E. nor. central,Can trust
31,E. nor. central,Cannot trust
84,E. nor. central,Not applicable
60,E. nor. central,Can trust
65,E. nor. central,Not applicable
34,E. nor. central,Not applicable
78,E. nor. central,Cannot trust
85,E. nor. central,Cannot trust
25,E. nor. central,Not applicable
58,E. nor. central,Cannot trust
66,E. nor. central,Not applicable
73,E. nor. central,Can trust
53,E. nor. central,Cannot trust
23,E. nor. central,Cannot trust
74,E. nor. central,Cannot trust
36,E. nor. central,Cannot trust
82,E. nor. central,Can trust
74,E. nor. central,Not applicable
69,E. nor. central,Not applicable
42,E. nor. central,Can trust
